Cell Line Name,Primary Disease,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2)",Expression 22Q1 Public
MACLS2,Breast Cancer,-0.3180261563,
MCF12A,Breast Cancer,0.05716427372,
MX1,Breast Cancer,-0.4207501116,
SKBR5,Breast Cancer,-0.9022398183,
SKBR7,Breast Cancer,-0.1910255878,
ZR75B,Breast Cancer,-1.065973478,
GISTT1,Colon/Colorectal Cancer,-0.4094768119,
LY2,Breast Cancer,-0.06462252199,
MEL285,Eye Cancer,0.0198017391,4.391630262
184B5,Non-Cancerous,-0.1038835526,
SW527,Colon/Colorectal Cancer,0.3156640976,
PLCPRF5,Liver Cancer,-0.6215708712,5.048759312
MCF10A,Engineered,0.1797877352,
MDAMB330,Breast Cancer,-0.4176091292,
ME180,Cervical Cancer,0.04102247258,
SUM102PT,Breast Cancer,-0.3567444151,1.659924558
SUM1315MO2,Breast Cancer,-0.4336494326,5.563463237
SUM149PT,Breast Cancer,-0.2712541186,2.873813198
SUM159PT,Breast Cancer,-0.00834370203,3.292781749
SUM185PE,Breast Cancer,-0.2955139123,3.778208576
SUM190PT,Breast Cancer,-0.7684701133,
SUM229PE,Breast Cancer,-0.6070048535,4.138323004
SUM44PE,Breast Cancer,-0.3370591594,2.553360503
SUM52PE,Breast Cancer,-0.3493604091,3.27351589
SUM225CWN,Breast Cancer,-1.35935777,
921,Eye Cancer,-0.2943561788,4.863442934
HCC1008,Breast Cancer,-0.6785082454,
MFM223,Breast Cancer,0.04530297989,3.874796966
8305C,Thyroid Cancer,-0.43948409,4.246408087
SIHA,Cervical Cancer,-0.1698481458,4.803743669
143B,Bone Cancer,-0.07980450021,4.218781168
GP2D,Colon/Colorectal Cancer,-0.534658467,5.328764672
COLO684,Endometrial/Uterine Cancer,-0.3616795514,4.99095486
NCIH1048,Lung Cancer,-0.6604162428,6.166112857
CHAGOK1,Lung Cancer,-0.2887977865,4.791293149
NCIH1568,Lung Cancer,-0.3140589676,4.822730148
HCC515,Lung Cancer,-0.681964275,5.101397952
RS411,Leukemia,-0.1099135588,3.814550423
MDAMB415,Breast Cancer,-0.3648008679,4.795974694
DBTRG05MG,Brain Cancer,-0.06380214375,4.158660175
HCC15,Lung Cancer,-0.0962266303,4.975446766
MELJUSO,Skin Cancer,-0.5932762268,5.983221651
IGR1,Skin Cancer,-0.2811544537,3.842978832
SW1783,Brain Cancer,-0.2771350121,4.498889087
MDAMB435S,Skin Cancer,-0.3558809386,4.164303583
TOV21G,Ovarian Cancer,-0.2812596906,4.756489607
SF172,Brain Cancer,-0.2295677382,3.948600847
NCIH1793,Lung Cancer,-0.01602692785,4.703211467
AGS,Gastric Cancer,-0.07643581875,5.202809492
NCIH358,Lung Cancer,0.0753060262,5.760220946
HCC1954,Breast Cancer,0.03122672245,5.657068301
KNS62,Lung Cancer,0.003231632306,3.915520901
CAL12T,Lung Cancer,-0.4410780141,4.911691582
WM793,Skin Cancer,-0.3922724844,4.341985747
HEC50B,Endometrial/Uterine Cancer,-0.1147222118,4.79753184
CAL27,Head and Neck Cancer,-0.185667582,4.535430915
NCIH322,Lung Cancer,-0.6784252181,4.701549057
AMO1,Myeloma,-0.1012259391,5.054414388
HCC366,Lung Cancer,-0.56979237,4.859472667
NCIH2087,Lung Cancer,-0.2008586519,4.590961241
SW480,Colon/Colorectal Cancer,0.1957985233,3.240314329
NCIH1373,Lung Cancer,-0.416586043,5.622051819
HGC27,Gastric Cancer,-0.01277160857,5.039577103
MDAMB468,Breast Cancer,-0.3883089374,4.713695815
MORCPR,Lung Cancer,-0.3194510594,4.635754391
NCIH1435,Lung Cancer,-0.6313870422,5.559797696
KYSE150,Esophageal Cancer,-0.4048961751,4.319762428
CAL51,Breast Cancer,-0.3009571086,5.614709844
CAL851,Breast Cancer,-0.09269723665,3.578938713
KMM1,Myeloma,-0.2465043891,5.547203025
1321N1,Brain Cancer,-0.1129555746,
SW1271,Lung Cancer,-0.3881023295,5.308521062
SNU719,Gastric Cancer,-0.3073372665,5.734167661
EFO27,Ovarian Cancer,-0.09536098954,4.872336288
NALM6,Leukemia,-0.01739999237,5.682573297
AN3CA,Endometrial/Uterine Cancer,-0.3518454278,5.338067798
RKO,Colon/Colorectal Cancer,-0.1881270164,3.956056652
NCIH650,Lung Cancer,-1.031984413,5.788424707
HEC265,Endometrial/Uterine Cancer,-0.3232373425,4.665620164
2313287,Gastric Cancer,-0.6219513029,5.069100632
MDST8,Colon/Colorectal Cancer,-0.2976739062,4.001802243
LOVO,Colon/Colorectal Cancer,-0.1429414291,4.77452353
HEC1A,Endometrial/Uterine Cancer,-0.1182432501,5.6794801
SNU407,Colon/Colorectal Cancer,-0.791714479,4.940636607
SNUC4,Colon/Colorectal Cancer,-0.4207979378,5.441948191
REH,Leukemia,-0.06030282913,5.61176256
HCT116,Colon/Colorectal Cancer,-0.3465856456,5.759155834
SNGM,Endometrial/Uterine Cancer,-0.01642352069,4.239550797
DND41,Leukemia,-0.3746323597,4.364572432
MDAPCA2B,Prostate Cancer,-0.2991424231,5.209063395
SNU1,Gastric Cancer,0.03894404242,5.195741293
HCC1569,Breast Cancer,-0.6907129741,5.097610797
NCIH2110,Lung Cancer,-0.215018999,4.71918344
WM88,Skin Cancer,-0.2509686463,4.43496176
NCIH23,Lung Cancer,-0.6033239697,4.802710219
HCC1359,Lung Cancer,-0.6012976239,5.155830172
CAL148,Breast Cancer,-0.9278582802,5.031218731
ES2,Ovarian Cancer,-0.315677435,3.929790998
SNU349,Kidney Cancer,-0.1405262707,3.415488271
JHUEM2,Endometrial/Uterine Cancer,-0.1160960748,5.20867332
MDAMB453,Breast Cancer,-0.1340763709,6.585563498
NUGC3,Gastric Cancer,-0.6516448706,3.700439718
ESS1,Endometrial/Uterine Cancer,-0.009909641138,5.167919866
IPC298,Skin Cancer,-0.633908183,4.707082992
TE4,Esophageal Cancer,-0.3095509463,4.573495715
IM95,Gastric Cancer,-0.5185921403,4.941106311
RCHACV,Leukemia,-0.384563467,5.17990909
NCIH2172,Lung Cancer,-0.04970390924,4.546585829
HT55,Colon/Colorectal Cancer,-0.2376506947,4.66106548
BT474,Breast Cancer,-0.6255473915,5.376081967
CL34,Colon/Colorectal Cancer,-0.5134477751,5.076815597
A498,Kidney Cancer,-0.1009593277,4.165107985
LCLC97TM1,Lung Cancer,-0.5016494184,5.315058966
SQ1,Lung Cancer,-0.03289255002,4.726831217
DAOY,Brain Cancer,-0.2642938001,5.118941073
CAL120,Breast Cancer,-0.05161201256,4.350497247
